songName,songURL,songURI
Snowman,,spotify:track:5ehVOwEZ1Q7Ckkdtq0dY1W
Reassuring Skies,https://p.scdn.co/mp3-preview/f7265a3ecaedde26873d0380db7a9595c7fcc058?cid=dd555e5dcb514c99bd5674e226882fcf,spotify:track:5wq7dQCHKEAAqCzCmSUBM0
True Love,https://p.scdn.co/mp3-preview/2d7b017090317b18fab2692f7314ca83c56cc2c9?cid=dd555e5dcb514c99bd5674e226882fcf,spotify:track:38DXHGzEB29o556tvfHpTJ
Yuma,https://p.scdn.co/mp3-preview/2430248de36c1cb026cc240653499abc4c0a189f?cid=dd555e5dcb514c99bd5674e226882fcf,spotify:track:0h0hkA9QkSt743NJihl8Ic
Sleep Patterns,https://p.scdn.co/mp3-preview/b3b28fc72b77287afce423f75dd9f7f39b24f705?cid=dd555e5dcb514c99bd5674e226882fcf,spotify:track:6tiRaiSadrLySVrnTXMsNg
Pleasant,https://p.scdn.co/mp3-preview/a683400a12e18c7bcd74e9d7fde28b90ce955e48?cid=dd555e5dcb514c99bd5674e226882fcf,spotify:track:3E0BVxtNfr1KKWOKTFIxfF
Frost,https://p.scdn.co/mp3-preview/f9ee39cd0bd06b8c3e5beba9e3bc681150c215ab?cid=dd555e5dcb514c99bd5674e226882fcf,spotify:track:63Kor293aoABGZTG65XfkU
Midnight,,spotify:track:0fQZVeJaYUfXt34qh5Nfph
Day One,https://p.scdn.co/mp3-preview/2cb2878c08ead38c63339f052899436ca801a9d6?cid=dd555e5dcb514c99bd5674e226882fcf,spotify:track:4YDMOS4LJyfY2jSY39Q03y
Finally Home,https://p.scdn.co/mp3-preview/ddf78bfdeec5304550ac5e2551070d16330b940e?cid=dd555e5dcb514c99bd5674e226882fcf,spotify:track:4gRGjIFvH7DyYKa4cL69WC
"Long Walk, Short Dock",https://p.scdn.co/mp3-preview/e2a6c1e3fd60470a17725786c979673a383ff1c1?cid=dd555e5dcb514c99bd5674e226882fcf,spotify:track:6h5GJPRHvPXrs4But3mO7N
